  PID TTY      STAT   TIME COMMAND
 2458 ?        S      0:00 /usr/sbin/rfkill event
 2479 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
 2484 ?        S      0:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
 2491 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.1 /org/gtk/gvfs/exec_spaw/0
 2559 ?        Sl     0:06 cinnamon-screensaver
 2560 ?        S      0:00 /usr/bin/python3 /usr/bin/mintupdate-launcher
 2565 ?        S      0:00 sh -c /usr/lib/linuxmint/mintUpdate/mintUpdate.py
 2566 ?        Sl     0:00 /usr/bin/python3 /usr/lib/linuxmint/mintUpdate/mintUpdate.py
 2630 ?        Ss     0:01 /sbin/mount.ntfs /dev/sda6 /media/smn/4420375020374866 -o rw,nodev,nosuid,uid=1000,gid=1000,uhelper=udisks2
 2633 ?        Sl     0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
 2643 ?        Ss     0:00 /sbin/mount.ntfs /dev/sda3 /media/smn/4CF6C28DF6C276AC -o rw,nodev,nosuid,uid=1000,gid=1000,uhelper=udisks2
 2652 ?        Ss     0:00 /sbin/mount.ntfs /dev/sda5 /media/smn/BBAE39274DA17F2C -o rw,nodev,nosuid,uid=1000,gid=1000,uhelper=udisks2
 3347 ?        SLs    0:00 /usr/sbin/dnscrypt-proxy --resolver-name=cisco
 6962 ?        S      0:01 [kworker/u16:55]
 7014 ?        S      0:00 [irq/30-mei_me]
 7015 ?        S<     0:00 [hci0]
 7016 ?        S<     0:00 [hci0]
 7017 ?        S<     0:00 [kworker/u17:2]
 7260 ?        S      0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-wlp3s0.pid -lf /var/lib/NetworkManager/dhclient-43a7ff67-02e7-485a-88cb-1419209e7602-wlp3s0.lease -cf /var/lib/NetworkManager/dhclient-wlp3s0.conf wlp3s0
 7589 ?        Ss     0:00 /usr/sbin/ntpd -p /var/run/ntpd.pid -g -u 108:114
 7756 ?        Sl     3:32 /home/smn/Telegram/Telegram -- %u
 7918 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-http --spawner :1.1 /org/gtk/gvfs/exec_spaw/1
 8072 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.1 /org/gtk/gvfs/exec_spaw/2
 8098 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.1 /org/gtk/gvfs/exec_spaw/6
 9168 ?        Sl     0:02 /usr/lib/gnome-terminal/gnome-terminal-server
 9172 pts/0    Ss     0:00 bash
 9576 ?        S      0:00 [kworker/2:0]
 9659 ?        S      0:00 [kworker/0:1]
 9665 ?        S      0:00 [kworker/1:1]
 9897 ?        S      0:00 [kworker/1:0]
 9935 ?        S      0:00 [kworker/3:2]
 9950 ?        S      0:00 [kworker/u16:2]
 9974 ?        S      0:00 [kworker/3:1]
 9982 ?        S      0:00 [kworker/0:2]
 9993 ?        S      0:00 [kworker/2:2]
10013 ?        S      0:00 [kworker/u16:1]
10035 ?        S      0:00 [kworker/3:0]
10050 ?        S      0:00 [kworker/0:0]
10051 ?        S      0:00 [kworker/0:3]
10052 ?        S      0:00 [kworker/0:4]
10053 ?        S      0:00 [kworker/0:5]
10054 ?        S      0:00 [kworker/0:6]
10055 ?        S      0:00 [kworker/1:2]
10192 ?        Sl     0:01 /opt/sublime_text/sublime_text /home/smn/os_lab/script (copy).sh
10203 ?        Sl     0:00 /opt/sublime_text/plugin_host 10192
10237 ?        S      0:00 [kworker/u16:0]
10250 pts/0    S+     0:00 bash
10251 pts/0    R+     0:00 ps ax
